0,1,2,3,4,5,6,7
0.868852436542511,0.9551281929016113,0.8906752467155457,0.8531951904296875,0.9835391044616699,0.9190140962600708,0.9444444179534912,1.0
0.9672130942344666,0.9967948794364929,0.9678456783294678,0.9637305736541748,0.9958847761154175,0.9401408433914185,0.9654654860496521,1.0
0.9303278923034668,0.9855769276618958,0.9196141362190247,0.9240068793296814,1.0,0.9295774698257446,0.9399399161338806,0.9978723526000977
0.5081967115402222,0.9695512652397156,0.7749196290969849,0.44041451811790466,0.9176954627037048,0.8485915660858154,0.9324324131011963,1.0
0.9549180269241333,0.9903846383094788,0.9549839496612549,0.9343696236610413,0.991769552230835,0.9471830725669861,0.9594594836235046,0.9978723526000977
0.9795082211494446,0.9983974099159241,0.9678456783294678,0.9706390500068665,1.0,0.9683098793029785,0.9519519805908203,1.0
0.9754098653793335,0.9983974099159241,0.9614148139953613,0.9620034694671631,1.0,0.9577465057373047,0.9534534811973572,1.0
0.9754098653793335,1.0,0.9678456783294678,0.9706390500068665,0.9958847761154175,0.9647887349128723,0.9534534811973572,1.0
0.9713114500045776,0.9967948794364929,0.971061110496521,0.9654576778411865,0.9958847761154175,0.9507042169570923,0.9684684872627258,1.0
0.9672130942344666,0.9983974099159241,0.9742765426635742,0.9430052042007446,0.9958847761154175,0.9577465057373047,0.9594594836235046,1.0
0.9795082211494446,1.0,0.9742765426635742,0.9723661541938782,0.9958847761154175,0.9647887349128723,0.9564564824104309,1.0
0.9754098653793335,0.9983974099159241,0.9774919748306274,0.9740932583808899,0.9958847761154175,0.9612675905227661,0.9444444179534912,1.0
0.9754098653793335,0.9983974099159241,0.9774919748306274,0.9740932583808899,0.9958847761154175,0.9612675905227661,0.9444444179534912,1.0
0.868852436542511,0.9551281929016113,0.8906752467155457,0.8531951904296875,0.9835391044616699,0.9190140962600708,0.9444444179534912,1.0
0.9795082211494446,0.9983974099159241,0.9678456783294678,0.9689119458198547,1.0,0.9683098793029785,0.9414414167404175,1.0
0.5737704634666443,0.9711538553237915,0.8038585186004639,0.45077720284461975,0.9094650149345398,0.8309859037399292,0.9519519805908203,1.0
0.9877049326896667,0.9983974099159241,0.9774919748306274,0.9792746305465698,0.9958847761154175,0.9683098793029785,0.9609609842300415,1.0
0.9754098653793335,0.9983974099159241,0.9614148139953613,0.9620034694671631,1.0,0.9577465057373047,0.9534534811973572,1.0
0.9877049326896667,0.9983974099159241,0.9807074069976807,0.9758203625679016,0.9958847761154175,0.9788732528686523,0.9579579830169678,1.0
0.9877049326896667,0.9983974099159241,0.9807074069976807,0.9758203625679016,0.9958847761154175,0.9788732528686523,0.9579579830169678,1.0
0.9795082211494446,0.9983974099159241,0.9678456783294678,0.9706390500068665,1.0,0.9683098793029785,0.9519519805908203,1.0
0.9795082211494446,0.9983974099159241,0.9678456783294678,0.9689119458198547,1.0,0.9683098793029785,0.9414414167404175,1.0
