0,1,2,3,4,5,6,7,8,9,10
0.9584941864013672,0.8801020383834839,0.9041613936424255,0.8229299187660217,0.7902131676673889,0.8646310567855835,0.9893454909324646,0.9988551735877991,0.9972421526908875,0.9451294541358948,0.9432059526443481
0.9758687019348145,0.918367326259613,0.9596469402313232,0.868789792060852,0.8473837375640869,0.9175572395324707,0.9920852184295654,0.9994276165962219,0.985659122467041,0.9630086421966553,0.9803609251976013
0.9584941864013672,0.9081632494926453,0.9634299874305725,0.8458598852157593,0.7950581312179565,0.8966920971870422,0.992998480796814,0.9994276165962219,0.9840044379234314,0.9605425596237183,0.9702759981155396
0.876447856426239,0.8647959232330322,0.9293820858001709,0.8382165431976318,0.6337209343910217,0.7801526784896851,0.9887366890907288,0.9977103471755981,0.9944843053817749,0.9679408073425293,0.8986199498176575
0.9604247212409973,0.9094387888908386,0.9634299874305725,0.8433120846748352,0.7969961166381836,0.9022901058197021,0.9933028817176819,0.9988551735877991,0.9840044379234314,0.9593095183372498,0.9708067774772644
0.9845559597015381,0.9336734414100647,0.9558638334274292,0.9146496653556824,0.8531976938247681,0.9195928573608398,0.9951293468475342,0.9994276165962219,0.9591836929321289,0.9691738486289978,0.9729299545288086
0.9816602468490601,0.9362244606018066,0.9609079360961914,0.9235668778419495,0.8430232405662537,0.9226462841033936,0.9945205450057983,1.0,0.9878653883934021,0.9691738486289978,0.981422483921051
0.9826254844665527,0.9221938848495483,0.9558638334274292,0.9121019244194031,0.8502907156944275,0.9277353882789612,0.9920852184295654,1.0,0.9768339991569519,0.9673243165016174,0.9692144393920898
0.9835907220840454,0.9323979616165161,0.9634299874305725,0.9019108414649963,0.8459302186965942,0.9094147682189941,0.9942161440849304,0.9994276165962219,0.9834528565406799,0.9815043210983276,0.9761146306991577
0.9758687019348145,0.918367326259613,0.9596469402313232,0.868789792060852,0.8473837375640869,0.9170483350753784,0.9920852184295654,0.9994276165962219,0.985659122467041,0.9630086421966553,0.9803609251976013
0.9777992367744446,0.9336734414100647,0.9546027779579163,0.9082802534103394,0.8561046719551086,0.929262101650238,0.9923896789550781,0.9994276165962219,0.9740760922431946,0.971023440361023,0.9713375568389893
0.9845559597015381,0.9349489808082581,0.9621689915657043,0.9171974658966064,0.8406007885932922,0.9134860038757324,0.992694079875946,1.0,0.9784886837005615,0.971023440361023,0.9830148816108704
0.9816602468490601,0.9362244606018066,0.9583858847618103,0.9210191369056702,0.8391472697257996,0.9195928573608398,0.9936072826385498,0.9988551735877991,0.9779371023178101,0.9741060137748718,0.9867303371429443
0.9594594836235046,0.8762755393981934,0.9066835045814514,0.8178343772888184,0.7892441749572754,0.8585241436958313,0.9887366890907288,0.9988551735877991,0.9972421526908875,0.9463624954223633,0.9400212168693542
0.9787644743919373,0.9387755393981934,0.9596469402313232,0.9261146783828735,0.8439922332763672,0.9231551885604858,0.9948249459266663,1.0,0.9873138666152954,0.9691738486289978,0.9819532632827759
0.9295367002487183,0.9056122303009033,0.9331651926040649,0.8407643437385559,0.6952519416809082,0.8249363899230957,0.9878234267234802,0.9942759275436401,0.9917263984680176,0.9660912156105042,0.93736732006073
0.9835907220840454,0.9400510191917419,0.9621689915657043,0.8993630409240723,0.856589138507843,0.9089058637619019,0.9936072826385498,1.0,0.986762285232544,0.978421688079834,0.9824841022491455
0.9797297120094299,0.9438775777816772,0.9583858847618103,0.9222930073738098,0.8415697813034058,0.9246819615364075,0.9945205450057983,1.0,0.9878653883934021,0.9722564816474915,0.9803609251976013
0.9845559597015381,0.9362244606018066,0.9583858847618103,0.9082802534103394,0.8561046719551086,0.9124681949615479,0.992694079875946,1.0,0.9840044379234314,0.9778051972389221,0.9835456609725952
0.9845559597015381,0.9362244606018066,0.9583858847618103,0.9082802534103394,0.8561046719551086,0.9124681949615479,0.992694079875946,1.0,0.9840044379234314,0.9778051972389221,0.9835456609725952
0.9806950092315674,0.9336734414100647,0.9495586156845093,0.9121019244194031,0.8619186282157898,0.9267175793647766,0.9942161440849304,0.9994276165962219,0.9624931216239929,0.9691738486289978,0.9734607338905334
0.9787644743919373,0.9387755393981934,0.9596469402313232,0.9248407483100891,0.8439922332763672,0.9226462841033936,0.9948249459266663,1.0,0.9884169697761536,0.9722564816474915,0.981422483921051
