0,1,2,3,4,5,6,7
0.7540983557701111,0.995192289352417,0.938906729221344,0.8946459293365479,0.9423868060112,0.7288732528686523,0.9789789915084839,0.9978723526000977
0.9057376980781555,0.9983974099159241,0.9646302461624146,0.9412780404090881,0.9588477611541748,0.9753521084785461,0.9624624848365784,1.0
0.9754098653793335,1.0,0.9839228391647339,0.8808290362358093,1.0,0.17253521084785461,0.9804804921150208,1.0
1.0,1.0,0.9839228391647339,0.9740932583808899,0.9958847761154175,0.98591548204422,0.977477490901947,1.0
1.0,1.0,0.9903537034988403,0.9792746305465698,1.0,0.9823943376541138,0.977477490901947,1.0
0.9959016442298889,1.0,0.9807074069976807,0.9758203625679016,0.991769552230835,0.9753521084785461,0.9759759902954102,1.0
0.9959016442298889,1.0,0.9839228391647339,0.9740932583808899,0.991769552230835,0.9753521084785461,0.9789789915084839,1.0
0.9959016442298889,1.0,0.9839228391647339,0.9740932583808899,0.991769552230835,0.9788732528686523,0.9759759902954102,0.9978723526000977
0.9959016442298889,1.0,0.9839228391647339,0.9723661541938782,0.9835391044616699,0.9718309640884399,0.977477490901947,1.0
0.9918032884597778,1.0,0.9871382713317871,0.9671847820281982,0.9835391044616699,0.9718309640884399,0.9789789915084839,1.0
0.9918032884597778,1.0,0.9774919748306274,0.9620034694671631,0.9876543283462524,0.9647887349128723,0.977477490901947,1.0
